title,genre,director,country,year,rotten_tomatoes_rating
Категория:Телефильмы по алфавиту,,,,,
42-я улица (фильм),"комедия, мюзикл, мелодрама","Ллойд Бэкон, Басби Беркли, (муз. номера)",США,1933,
Категория:Фильмы в IMAX по годам,,,,,
Категория:Фильмы в 4DX по годам,,,,,
Категория:Фильмы в 3D по годам,,,,,
Категория:Фильмы по типу и годам,,,,,
Категория:Фильмы по странам и десятилетиям,,,,,
Категория:Фильмы по странам и годам,,,,,
Категория:Фильмы по жанрам и годам,,,,,
Категория:Фильмы по годам и странам,,,,,
Категория:Фильмы по годам XXI века,,,,,
Категория:Фильмы по годам XX века,,,,,
Категория:Фильмы по годам XIX века,,,,,
42 (фильм),"драма, спортивный фильм",Брайан Хелгеленд,"США, [, 2, ], [, 3, ]","12 апреля, 2013, и, 8 августа, 2013, [, 1, ]",
40-я дверь,,Эльчин Мусаоглу,Азербайджан,2009,
40 дней и 40 ночей,,Майкл Леманн,США,2002,
"40 (фильм, 2007)","детектив, /, триллер",Александр Галибин,Россия,2007,
39-я бригада (фильм),"исторический фильм, военный, экранизация",Карой Макк,Венгрия,1959,
38-я параллель (фильм),"драма, боевик, военный",Кан Джегю,Республика Корея,2004,
36 безумных кулаков,"боевик, комедия",Чэнь Чжихуа,Гонконг,1977,
34-й скорый,"Фильм-катастрофа, приключенческий фильм, драма",Андрей Малюков,СССР,1981,
33 (фильм),,Патрисия Ригген,,2015,
32-е августа на Земле,"драма,,, мелодрама",Дени Вильнёв,Канада,1998,
32 декабря (фильм),"комедия,,, фантастика, мелодрама",Александр Муратов,Россия,2004,
31-й километр,"ужасы,,, мистика",Ригоберто Кастаньеда,,2006,
31 июня (фильм),"музыкальный фильм, (, мюзикл, ),, фэнтези",Леонид Квинихидзе,СССР,,
31 (фильм),,Роб Зомби,США,2016,
30 Rock: A XXX Parody,,Ли Рой Майерс,США,2009,
30 свиданий,"комедия, мелодрама",Таисия Игуменцева,Россия,2016,
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,,Крэйг Мосс,США,2012,
30 дней ночи: Тёмные времена,"триллер, /, фильм ужасов",Бен Кетай,США,2010,
30 дней ночи,,Дэвид Слейд,США,"16 октября, 2007, [, 2, ], и, 8 ноября, 2007, [, 3, ]",
30 дней до рассвета,"фильм ужасов, комедия",Андерс Банке,Швеция,2006,
30 безумных желаний,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Питер Хатчингс, [вд]",США,2018,
"29-я улица (фильм, 1991)","комедия, драма",Джордж Галло,США,1991,
"29 пальм (фильм, 2003)","драма, роуд-муви",Брюно Дюмон,,2003,
29 километр (фильм),"драма,,, музыкальный фильм",Леонид Андронов,Россия,2012,
28 недель спустя,,Хуан Карлос Фреснадильо,,2007,
28 лет спустя. Часть II: Костяной храм,"постапокалиптика, и, фильм ужасов",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Ниа Дакоста, [вд], Из машины, (2015), Аннигиляция, (2018), Род мужской, (2022), Падение империи, (2024), Военное дело, (2025)",,"16 января, 2026, [, 1, ]",
28 лет спустя,,"Дэнни Бойл, Из машины, (2015), Аннигиляция, (2018), Род мужской, (2022), Падение империи, (2024), Военное дело, (2025)",,2025,
28 дней спустя,,Дэнни Бойл,Великобритания,2002,
28 дней,"драма,,, комедия",Бетти Томас,США,2000,
27-й день,,Уильям Эшер,США,1957,
27 украденных поцелуев,"комедия, драма, мелодрама",Нана Джорджадзе,,2000,
27 секунд памяти,,Иван Качалин,,2019,
27 свадеб,,Энн Флетчер,США,2008,
25-й час,"криминальный фильм, драма",Спайк Ли,США,2002,
25 ватт,,"Хуан Пабло Ребелья, Пабло Столь",Уругвай,2001,
24-25 не возвращается,"детективный фильм,,, драма","Алоиз Бренч, Ростислав Горяев",СССР,1968,
24 часа: Искупление,"боевик, и, драматический фильм",Джон Кассар,США,,
"24 часа из жизни женщины (фильм, 1999)",,Нэнси Савока,США,1999,
"24 часа (фильм, 2002)",,Луис Мандоки,,2002,
"24 часа (фильм, 2000)","боевик, драма",Александр Атанесян,Россия,2000,
24 недели,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Анна Зора Берашед, [вд], [, 1, ], [, 4, ]",Германия,"22 сентября, 2016, [, 1, ], [, 2, ], […],,, 13 октября, 2016, [, 3, ], и, 2016",
24 кадра,,Аббас Киаростами,,"май, 2017",
23 (фильм),"триллер, /, драма",Ганс-Христиан Шмидт,Германия,1998,
